Nazov,Pocet slov po spracovani,,min,max,<40000,<10000,<22500
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00036.txt,63048,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00037.txt,38190,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00038.txt,11968,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00039.txt,7951,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00040.txt,2628,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00041.txt,30222,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00042.txt,27688,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00043.txt,2715,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00044.txt,26775,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00045.txt,36003,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00046.txt,39061,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00047.txt,39025,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00048.txt,23469,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00049.txt,22193,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00050.txt,5885,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00051.txt,93290,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00052.txt,1790,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00053.txt,44097,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00054.txt,56041,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00055.txt,35842,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00056.txt,13481,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00057.txt,52175,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00058.txt,42198,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00059.txt,564,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00060.txt,47162,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00061.txt,4570,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00062.txt,3276,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00063.txt,3083,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00064.txt,41639,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00065.txt,1036,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00066.txt,16152,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00067.txt,24662,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00068.txt,4154,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00069.txt,333,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00070.txt,38527,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00071.txt,2760,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00072.txt,18317,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00073.txt,22410,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00074.txt,85723,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00075.txt,28346,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00076.txt,328,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00077.txt,20117,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00078.txt,12664,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00079.txt,10600,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00080.txt,13263,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00081.txt,18972,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00082.txt,608,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00083.txt,2132,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00084.txt,148247,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00085.txt,44800,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00086.txt,234,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00087.txt,20659,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00088.txt,32719,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00089.txt,2499,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00090.txt,3109,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00091.txt,1354,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00092.txt,292,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00093.txt,52496,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00094.txt,1847,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00095.txt,29638,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00096.txt,26157,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00097.txt,17800,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00098.txt,23109,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00099.txt,1315,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00100.txt,4151,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00101.txt,6532,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00102.txt,2662,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00103.txt,641,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00104.txt,1901,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00105.txt,45172,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00106.txt,1497,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00107.txt,1587,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00108.txt,9172,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00109.txt,1901,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00110.txt,47838,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00111.txt,18437,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00112.txt,14700,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00113.txt,2289,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00114.txt,32156,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00115.txt,1084,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00116.txt,3330,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00117.txt,16668,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00118.txt,65060,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00119.txt,15645,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00120.txt,2491,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00121.txt,30753,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00122.txt,320,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00123.txt,6988,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00124.txt,25746,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00125.txt,1338,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00126.txt,21830,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00127.txt,3976,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00128.txt,1881,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00129.txt,16917,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00130.txt,3501,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00131.txt,727,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00132.txt,63919,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00133.txt,25864,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00134.txt,1280,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00135.txt,1756,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00136.txt,30311,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00137.txt,44856,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00138.txt,65715,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00139.txt,674,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00140.txt,1432,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00141.txt,8064,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00142.txt,2792,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00143.txt,20216,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00144.txt,32199,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00145.txt,1371,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00146.txt,717,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00147.txt,25488,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00148.txt,21234,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00149.txt,322,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00150.txt,8822,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00151.txt,13321,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00152.txt,15690,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00153.txt,33985,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00154.txt,15142,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00155.txt,7039,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00156.txt,5520,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00157.txt,665,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00158.txt,2083,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00159.txt,48737,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00160.txt,20886,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00161.txt,561,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00162.txt,35874,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00163.txt,29475,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00164.txt,1943,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00165.txt,60209,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00166.txt,906,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00167.txt,26875,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00168.txt,37513,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00169.txt,957,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00170.txt,10947,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00171.txt,1313,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00172.txt,81324,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00173.txt,10732,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00174.txt,48554,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00175.txt,11539,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00176.txt,2327,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00177.txt,18530,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00178.txt,2151,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00179.txt,32737,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00180.txt,21670,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00181.txt,7329,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00182.txt,36646,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00183.txt,55741,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00184.txt,38250,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00185.txt,6914,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00186.txt,30288,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00187.txt,102383,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00188.txt,3500,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00189.txt,58471,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00190.txt,29113,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00191.txt,22311,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00192.txt,28802,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00193.txt,301,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00194.txt,21629,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00195.txt,1406,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00196.txt,9857,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00197.txt,31391,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00198.txt,2432,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00199.txt,6336,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00200.txt,12555,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00201.txt,48165,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00202.txt,10613,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00203.txt,35329,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00204.txt,41449,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00205.txt,2498,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00206.txt,1144,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00207.txt,969,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00208.txt,40838,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00209.txt,15493,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00210.txt,5784,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00211.txt,2061,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00212.txt,3226,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00213.txt,358,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00214.txt,739,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00215.txt,14637,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00216.txt,8078,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00217.txt,2250,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00218.txt,46732,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00219.txt,3278,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00220.txt,37055,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00221.txt,1302,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00222.txt,48756,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00223.txt,2323,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00224.txt,13621,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00225.txt,2166,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00226.txt,31214,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00227.txt,2622,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00228.txt,2405,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00229.txt,340,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00230.txt,2780,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00231.txt,35007,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00232.txt,3071,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00233.txt,41609,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00234.txt,3558,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00235.txt,3806,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00236.txt,9385,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00237.txt,27951,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00238.txt,15276,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00239.txt,2518,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00240.txt,71300,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00241.txt,608,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00242.txt,637,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00243.txt,322,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00244.txt,3528,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00245.txt,297,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00246.txt,23321,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00247.txt,11577,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00248.txt,49670,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00249.txt,4063,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00250.txt,18498,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00251.txt,10599,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00252.txt,1005,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00253.txt,41946,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00254.txt,78981,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00255.txt,37626,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00256.txt,1298,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00257.txt,35374,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00258.txt,16309,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00259.txt,47497,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00260.txt,2947,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00261.txt,30860,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00262.txt,31596,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00263.txt,625,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00264.txt,49269,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00265.txt,22855,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00266.txt,1282,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00267.txt,1759,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00268.txt,624,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00269.txt,2626,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00270.txt,3207,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00271.txt,972,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00272.txt,3723,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00273.txt,26140,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00274.txt,20595,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00275.txt,21109,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00276.txt,23852,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00277.txt,1784,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00278.txt,9019,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00279.txt,4976,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00280.txt,16551,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00281.txt,286,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00282.txt,35734,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00283.txt,70252,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00284.txt,94038,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00285.txt,8716,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00286.txt,2253,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00287.txt,51132,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00288.txt,28670,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00289.txt,27532,,,,,,
pan-plagiarism-corpus-2010\suspicious-documents\part1\suspicious-document00290.txt,72264,,,,,,
